DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,-0.49366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,1.35092,0.49096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,1.04583,1.39017,0.73498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,0.99225,1.15855,1.42525,0.91178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,1.17325,1.28938,1.39361,1.54588,1.40723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,0.12935,0.59407,0.67628,0.75189,0.88585,0.81493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,0.13983,-0.07385,0.30608,0.38562,0.44888,0.54793,0.48774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,0.21884,0.22045,0.1065,0.38457,0.43565,0.48879,0.57322,0.52992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,0.31633,0.34852,0.26971,0.1172,0.41278,0.45816,0.50364,0.58416,0.55034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,0.66067,0.4345,0.44471,0.36005,0.24463,0.55936,0.60641,0.64179,0.71524,0.67833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-2.43142,-0.985,-0.44328,-0.27082,-0.233,-0.32397,0.02627,0.09235,0.13915,0.2417,0.20927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,-0.70271,-2.09165,-1.03984,-0.53816,-0.36505,-0.34264,-0.41358,-0.07727,-0.01219,0.03412,0.13541,0.10296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,-0.31208,-0.79783,-1.84408,-1.01746,-0.57223,-0.38594,-0.35822,-0.43512,-0.10453,-0.03636,0.00809,0.10689,0.07455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,-0.20404,-0.2947,-0.74647,-1.71475,-1.01421,-0.6104,-0.41245,-0.37389,-0.44839,-0.12085,-0.05326,-0.00905,0.08828,0.0565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,0.09848,-0.10079,-0.23975,-0.63942,-1.6954,-0.99798,-0.60355,-0.40731,-0.37295,-0.44902,-0.12466,-0.05809,-0.01364,0.08246,0.05121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,-0.45944,-0.38643,-0.40641,-0.43188,-0.75655,-1.67557,-1.0467,-0.65978,-0.45232,-0.40004,-0.47111,-0.14606,-0.07992,-0.03583,0.05841,0.02684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,-0.18029,-0.38874,-0.39089,-0.402,-0.46723,-0.6852,-1.69364,-1.04056,-0.65203,-0.47013,-0.43024,-0.49009,-0.18091,-0.11716,-0.0715,0.02253,-0.01418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,0.89901,0.59319,0.49902,0.4985,0.46523,0.42756,0.24944,-0.53001,-0.33508,-0.16603,-0.06619,-0.05864,-0.16795,0.10013,0.14349,0.1811,0.2542,0.21859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,-0.13478,0.26499,0.11382,0.06238,0.07321,0.04833,0.01111,-0.08161,-0.67729,-0.53393,-0.34501,-0.24416,-0.20927,-0.27256,-0.04217,-0.00387,0.03656,0.10413,0.07826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,0.9661,0.54585,0.78406,0.63791,0.57937,0.58348,0.56226,0.53213,0.44409,-0.08035,3e-05,0.08419,0.17439,0.11181,0.0625,0.27418,0.30745,0.34197,0.39768,0.37327,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,0.72521,1.14124,0.72261,0.90923,0.81778,0.76322,0.76077,0.74246,0.7199,0.64025,0.1752,0.26148,0.30671,0.36977,0.33005,0.27877,0.46091,0.49048,0.52187,0.57239,0.54719,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,0.20246,0.5496,1.08453,0.67855,0.90679,0.8401,0.78618,0.77867,0.75902,0.73364,0.65675,0.18605,0.26103,0.30273,0.37715,0.34533,0.30143,0.49161,0.51901,0.54797,0.59974,0.57644,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1951,0.09359,0.09516,0.48974,0.99758,0.64248,0.90135,0.83581,0.77726,0.76904,0.75547,0.73744,0.6483,0.16332,0.24551,0.29573,0.38548,0.34801,0.30946,0.49825,0.52739,0.55693,0.61148,0.58924,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1951,-0.46031,-0.19278,-0.10352,0.36795,0.86818,0.5441,0.8054,0.74622,0.68973,0.68194,0.66944,0.65193,0.56746,0.09554,0.19138,0.24037,0.32662,0.29172,0.2582,0.44493,0.4744,0.50432,0.56019,0.53776,,,,,,,,,,,,,,,,,,,,,,,,
Jan1952,-0.19048,-0.57907,-0.27074,-0.16075,0.32137,0.83304,0.51649,0.77655,0.71772,0.66505,0.65629,0.64333,0.62574,0.54672,0.07779,0.16814,0.21262,0.31176,0.28497,0.26475,0.44991,0.47852,0.50812,0.56295,0.54189,,,,,,,,,,,,,,,,,,,,,,,
Feb1952,-0.53328,-0.40231,-0.69486,-0.39443,-0.25859,0.22721,0.77177,0.47467,0.73606,0.67734,0.62522,0.61672,0.60352,0.58517,0.50833,0.04203,0.13203,0.1814,0.28768,0.26254,0.23795,0.42506,0.45407,0.48478,0.53881,0.51653,,,,,,,,,,,,,,,,,,,,,,
Mar1952,-1.28658,-0.94971,-0.71562,-0.84928,-0.52312,-0.35978,0.14595,0.69756,0.41491,0.67617,0.6179,0.56684,0.55912,0.54632,0.52802,0.45136,-0.01392,0.07809,0.13043,0.2409,0.21966,0.19397,0.38113,0.41136,0.44255,0.49712,0.47443,,,,,,,,,,,,,,,,,,,,,
Apr1952,-0.33457,-1.08343,-1.00628,-0.78041,-0.9164,-0.61361,-0.43984,0.08115,0.63434,0.38162,0.64418,0.59145,0.5423,0.53478,0.52162,0.50368,0.42828,-0.02706,0.06406,0.10964,0.22961,0.20558,0.17429,0.36476,0.39357,0.42399,0.47827,0.45531,,,,,,,,,,,,,,,,,,,,
May1952,-0.54249,-0.70573,-0.95186,-1.05825,-1.00531,-1.09586,-0.79671,-0.59203,-0.05144,0.47398,0.26579,0.53086,0.47161,0.42528,0.42109,0.41028,0.38836,0.31609,-0.14294,-0.03799,-0.00754,0.11105,0.07806,0.06721,0.25442,0.28494,0.31672,0.37137,0.3488,,,,,,,,,,,,,,,,,,,
Jun1952,0.14721,-0.25505,-0.34122,-0.45941,-0.52564,-0.51824,-0.59535,-0.50998,-0.481,-0.08246,0.38396,0.22109,0.42335,0.36957,0.32312,0.32107,0.3063,0.28222,0.21776,-0.20342,-0.10759,-0.06811,0.05689,0.0307,0.03203,0.21633,0.24643,0.27692,0.33622,0.31501,,,,,,,,,,,,,,,,,,
Jul1952,-0.1414,-0.28696,-0.51596,-0.55137,-0.61598,-0.65673,-0.66063,-0.70332,-0.66583,-0.6544,-0.27577,0.13182,0.04041,0.26273,0.19837,0.15595,0.16045,0.14853,0.13253,0.07817,-0.28693,-0.19892,-0.17066,-0.08616,-0.10573,-0.12463,0.04879,0.07717,0.10759,0.16683,0.14606,,,,,,,,,,,,,,,,,
Aug1952,0.00193,-0.16006,-0.20081,-0.4085,-0.44727,-0.4979,-0.52903,-0.53503,-0.57073,-0.56852,-0.55999,-0.27403,0.1487,-0.0155,0.2039,0.14893,0.11084,0.1163,0.10437,0.09033,0.04864,-0.28137,-0.204,-0.19096,-0.11488,-0.15275,-0.19675,-0.0216,0.00834,0.03903,0.10287,0.08444,,,,,,,,,,,,,,,,
Sep1952,-0.92078,-0.59493,-0.65868,-0.67027,-0.80667,-0.83169,-0.87529,-0.89613,-0.89977,-0.92931,-0.91129,-0.86549,-0.59121,-0.16311,-0.28697,-0.0635,-0.13446,-0.17004,-0.16181,-0.16888,-0.18373,-0.22117,-0.56049,-0.47843,-0.44143,-0.35552,-0.37658,-0.41222,-0.23596,-0.20038,-0.17068,-0.11014,-0.12746,,,,,,,,,,,,,,,
Oct1952,-1.01848,-1.26048,-0.97874,-1.00477,-0.95854,-1.11319,-1.12127,-1.16523,-1.18233,-1.18181,-1.2095,-1.16929,-1.09862,-0.80718,-0.34892,-0.47627,-0.23546,-0.29688,-0.33252,-0.32585,-0.33099,-0.34418,-0.38697,-0.75255,-0.64957,-0.59982,-0.49542,-0.53195,-0.56957,-0.38328,-0.34441,-0.314,-0.25156,-0.27076,,,,,,,,,,,,,,
Nov1952,0.46151,-0.40224,-0.95434,-0.80692,-0.88468,-0.89739,-1.04975,-1.05978,-1.10263,-1.12534,-1.13788,-1.17028,-1.14332,-1.08586,-0.78735,-0.31979,-0.45087,-0.18786,-0.26128,-0.29812,-0.29244,-0.29914,-0.30823,-0.35871,-0.73658,-0.63503,-0.58774,-0.4792,-0.49165,-0.53003,-0.34509,-0.3048,-0.27472,-0.21248,-0.23213,,,,,,,,,,,,,
Dec1952,0.72341,0.59102,-0.20358,-0.76483,-0.67814,-0.78367,-0.80266,-0.94651,-0.95961,-1.00137,-1.02234,-1.03528,-1.07585,-1.05634,-1.0135,-0.72117,-0.26844,-0.3984,-0.13696,-0.21423,-0.25183,-0.24717,-0.25579,-0.26527,-0.31784,-0.69304,-0.59509,-0.54949,-0.44814,-0.45087,-0.48636,-0.30651,-0.26529,-0.23594,-0.17442,-0.19439,,,,,,,,,,,,
Jan1953,-0.08834,0.44434,0.46869,-0.23647,-0.76218,-0.66643,-0.76874,-0.80203,-0.9427,-0.95335,-0.9953,-1.01682,-1.02944,-1.07363,-1.06597,-1.0315,-0.75159,-0.27733,-0.39887,-0.12362,-0.19923,-0.23765,-0.23378,-0.24292,-0.25146,-0.30283,-0.6829,-0.58279,-0.53214,-0.43,-0.4331,-0.47538,-0.29535,-0.25386,-0.22378,-0.16124,-0.18013,,,,,,,,,,,
Feb1953,0.18358,0.05714,0.38705,0.45077,-0.23219,-0.75242,-0.65427,-0.75121,-0.78525,-0.92087,-0.93164,-0.9729,-0.99345,-1.00387,-1.0494,-1.0459,-1.01585,-0.74038,-0.2641,-0.38288,-0.1141,-0.18818,-0.22626,-0.22149,-0.23182,-0.2425,-0.29365,-0.67394,-0.57357,-0.52488,-0.42232,-0.42445,-0.46781,-0.28778,-0.24554,-0.21523,-0.15223,-0.17053,,,,,,,,,,
Mar1953,-0.35828,-0.02833,-0.07552,0.26673,0.3974,-0.25809,-0.77033,-0.66784,-0.76543,-0.79905,-0.93142,-0.94216,-0.98195,-1.00195,-1.01178,-1.05578,-1.05309,-1.02213,-0.75137,-0.28011,-0.39707,-0.13079,-0.20603,-0.24312,-0.23849,-0.24903,-0.26,-0.31155,-0.68762,-0.5879,-0.53693,-0.43548,-0.43598,-0.48053,-0.30211,-0.26065,-0.22971,-0.1671,-0.18529,,,,,,,,,
Apr1953,-0.49932,-0.67105,-0.36732,-0.31108,0.0298,0.21894,-0.35946,-0.82343,-0.7063,-0.79094,-0.82407,-0.95995,-0.97113,-1.01133,-1.03172,-1.04274,-1.08949,-1.09157,-1.05827,-0.78041,-0.29735,-0.42079,-0.15779,-0.22804,-0.26617,-0.26239,-0.27279,-0.28412,-0.33665,-0.71299,-0.61207,-0.55785,-0.46228,-0.46259,-0.51042,-0.33403,-0.29302,-0.26276,-0.20063,-0.21853,,,,,,,,
May1953,0.7784,0.57819,0.50267,0.55106,0.47431,0.65893,0.64833,0.05666,-0.48683,-0.45409,-0.56937,-0.6142,-0.76036,-0.77918,-0.82413,-0.84625,-0.86019,-0.91308,-0.91028,-0.89189,-0.61882,-0.16034,-0.29371,-0.02358,-0.09757,-0.13504,-0.13161,-0.14321,-0.15545,-0.20585,-0.56749,-0.47776,-0.4245,-0.33364,-0.34126,-0.38884,-0.22152,-0.18105,-0.15027,-0.08789,-0.1062,,,,,,,
Jun1953,1.15372,1.2026,1.12675,1.10361,1.10749,1.07166,1.10387,1.06705,0.61948,0.14323,0.10731,-0.0308,-0.13456,-0.256,-0.28836,-0.33154,-0.357,-0.37595,-0.42106,-0.43306,-0.44002,-0.23323,0.18181,0.05269,0.3077,0.23657,0.19875,0.19978,0.19157,0.17941,0.12923,-0.19784,-0.12257,-0.08037,0.00078,-0.04261,-0.07538,0.07954,0.11576,0.14233,0.20144,0.18557,,,,,,
Jul1953,-0.1838,0.45621,0.60865,0.54921,0.5308,0.53176,0.50672,0.57708,0.61044,0.24346,-0.09844,-0.11884,-0.20321,-0.26069,-0.38374,-0.41395,-0.44754,-0.46587,-0.47474,-0.51397,-0.51491,-0.51675,-0.33096,0.0123,-0.09877,0.12257,0.05517,0.01977,0.02231,0.01747,0.00558,-0.03218,-0.33922,-0.25263,-0.21718,-0.15438,-0.19025,-0.23666,-0.07997,-0.04322,-0.0159,0.03999,0.02022,,,,,
Aug1953,1.10937,0.61558,0.98838,1.06669,1.00846,0.98804,0.98556,0.96769,1.00032,1.01772,0.73148,0.36704,0.34823,0.17487,0.13154,0.02178,-0.01085,-0.04315,-0.06775,-0.07466,-0.10121,-0.08316,-0.10056,0.03279,0.34316,0.21056,0.40554,0.34116,0.30524,0.30671,0.30414,0.29233,0.2482,-0.04288,0.03212,0.06548,0.12735,0.07615,0.03088,0.17591,0.21311,0.23805,0.28994,0.27033,,,,
Sep1953,-0.89009,0.33777,0.06883,0.48897,0.63169,0.57523,0.55924,0.56554,0.55846,0.61365,0.64937,0.39612,0.04373,0.04868,-0.08203,-0.1285,-0.25334,-0.28298,-0.31293,-0.33261,-0.34048,-0.36271,-0.35501,-0.3716,-0.21674,0.10002,-0.00738,0.18561,0.12545,0.09508,0.09672,0.09309,0.08269,0.03215,-0.25669,-0.18295,-0.1367,-0.07062,-0.11323,-0.1791,-0.03736,-0.00295,0.02169,0.07388,0.05706,,,
Oct1953,-0.57605,-1.08721,-0.01752,-0.18792,0.31109,0.49361,0.4448,0.4236,0.43046,0.42082,0.48249,0.51813,0.25278,-0.1025,-0.07208,-0.2003,-0.2422,-0.3608,-0.3908,-0.4243,-0.44393,-0.4503,-0.47708,-0.47237,-0.48154,-0.31672,0.02264,-0.10086,0.09855,0.04069,0.01055,0.01165,0.00821,-0.00397,-0.06241,-0.36095,-0.28671,-0.23567,-0.1684,-0.20803,-0.27648,-0.12898,-0.09465,-0.07104,-0.01711,-0.03375,,
Nov1953,1.09848,0.26599,-0.52556,0.31258,0.06191,0.52385,0.7023,0.64403,0.61992,0.63171,0.62843,0.67704,0.71634,0.44459,0.07409,0.09736,-0.03957,-0.07237,-0.20595,-0.2389,-0.27523,-0.2985,-0.30089,-0.33423,-0.33284,-0.35437,-0.19667,0.14124,0.03702,0.2364,0.17817,0.14869,0.14843,0.14346,0.13077,0.07144,-0.22828,-0.16217,-0.12296,-0.05815,-0.08863,-0.15278,-0.00396,0.02867,0.05139,0.10418,0.08695,
Dec1953,0.99687,1.21105,0.43443,-0.30208,0.43406,0.15424,0.60031,0.77254,0.71397,0.68929,0.69877,0.69576,0.74508,0.78868,0.535,0.16419,0.17338,0.03554,0.00723,-0.12939,-0.1635,-0.20041,-0.22563,-0.22862,-0.2643,-0.26841,-0.29158,-0.1358,0.19228,0.09529,0.29451,0.23532,0.20743,0.20657,0.20168,0.18879,0.13124,-0.16361,-0.10138,-0.06508,-0.00151,-0.03498,-0.09732,0.05104,0.08267,0.10439,0.15718,0.13986
Jan1954,-0.35557,0.59189,1.0266,0.32298,-0.35153,0.3871,0.1224,0.56183,0.73275,0.67813,0.65274,0.66178,0.65857,0.71221,0.75885,0.50305,0.12528,0.14918,0.02038,0.00557,-0.12931,-0.16397,-0.2016,-0.22725,-0.22921,-0.26353,-0.26856,-0.29125,-0.12807,0.20165,0.10311,0.29521,0.2355,0.20785,0.20762,0.20354,0.19204,0.13331,-0.15909,-0.09632,-0.06656,-0.0067,-0.04809,-0.11234,0.03765,0.0696,0.09005,0.14071
